EntityId,Chart Label,Technology,Technology Subtype,Year,Official Program Number,Calculated LCOE,,Overnight Capital Cost dollar per kW including Contingency,Contingency Factor,Overnight Capital Cost dollar per kW,"Final Capital Cost, $/kW",Discount Rate,Lifetime Years,Final Lifetime in Years,Capital Recovery Factor,Tax Rate,Present Value of Depreciation,Average Capacity Factor,Max Capacity Factor,Final Capacity Factor,LCOE Capital Cost Term,O M All-Inclusive,Fixed O M dollar per kW,Variable O M dollar per MWh,Calculated OM All Inclusive Cost Term ($/kW),Calculated Fixed OM Term ($/kW),Calculated Variable OM Term ($/kW),LCOE OM Term,Fuel,Fuel Cost,Heat Rate,LCOD Fuel Cost Term,,Reference Name,Publication Year,Report Author(s),Dataset name,Dataset web source
EntityId,TechIndex,Technology,TechnologySubtype,Year,IsOfficial,lcoe,Blank,OnghCptCstDlKwInclCtng,ContingencyFactor,OnghtCptlCostDolPerKw,FinalCptlCostDolPerKw,DiscountRate,LifetimeYears,FinalLifetimeYears,CapitalRecoveryFactor,TaxRate,PvOfDepreciation,AvgCapacityFactor,MaxCapacityFactor,FinalCapacityFactor,TermCapitalCost,OMAllInclusive,FixedOMDolPerKw,VariableOMDolPerMwh,OfficialOMAllInclusive,OfficialFixedOMDolPerKw,OfficialVariableOMDolPerMwh,TermOMCost,Fuel,FuelCost,HeatRate,TermFuelCost,Blank,ShortName,PublicationYear,Author,Title,PublicationUrl
Unique identifier for this data record.,Displayed label for the technology and sub-technology.,General type of technology used to generate electricity.,Technology Subtype.,Year.,Official Program Number.,"Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.",,Overnight Capital Cost dollar per kW including Contingency.,Contingency Factor.,"Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.",Lifetime Years.,Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).,(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.,Tax rate paid (applied after depreciation credits).,"The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).",The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.,Max Capacity Factor.,Final Capacity Factor.,Capital Cost term calculated in the LCOE equation,O M All-Inclusive.,Maintenance costs for generation paid regardless of the total amount generated.,Maintenance costs for generation paid per unit of energy produced.,"Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).",Term calculated using the Fixed OM ($/kW).,Term calculated using the Variable OM ($/kW).,Calculated term for all costs associated with OM (Operations and Maintenance).,Fuel.,Fuel Cost.,Heat Rate.,,,Reference Name.,Publication Year.,Report Author.,Dataset name.,Dataset web source.
g42220,Hydrothermal,Geothermal,Binary,2009,,0.088,,,,5881,5881,0.07,30,30,0.080586404,0.392,0.83155,0.8,,0.8,0.074971475,,54.65,5.12,,,,0.012918231,Geothermal,0,,0,,Klein et al. 2010,2010,Klein et al.,Comparate Costs of California Central Station Electricity Generation. Final Staff Report,http://www.energy.ca.gov/2009publications/CEC-200-2009-017/CEC-200-2009-017-SF.PDF
g37829,Hydrothermal,Geothermal,,2010,,0.049,,2481.75,,,2481.75,0.07,,30,0.080586404,0.392,0.83155,,,0.95,0.026642151,,107.27,9.52,,,,0.02240993,Geothermal,0,,0,,AEO 2011,2011,AEO,Annual Energy Outlook 2011,http://www.eia.gov/forecasts/aeo/pdf/0383(2011).pdf
g38811,Hydrothermal,Geothermal,Flash,2011,,0.047,,,,1800,1800,0.07,27.5,30,0.080586404,0.392,0.83155,0.75,,0.75,0.024476319,,150,,,,,0.02283105,Geothermal,0,,0,,IPCC 2011,2011,IPCC,IPCC Annex 3,http://srren.ipcc-wg3.de/report/
g38814,Hydrothermal,Geothermal,Binary,2011,,0.051,,,,2100,2100,0.07,27.5,30,0.080586404,0.392,0.83155,0.75,,0.75,0.028555705,,150,,,,,0.02283105,Geothermal,0,,0,,IPCC 2011,2011,IPCC,IPCC Annex 3,http://srren.ipcc-wg3.de/report/
g38812,Hydrothermal,Geothermal,Flash,2011,,0.063,,,,2700,2700,0.07,27.5,30,0.080586404,0.392,0.83155,0.75,,0.75,0.036714478,,170,,,,,0.02587519,Geothermal,0,,0,,IPCC 2011,2011,IPCC,IPCC Annex 3,http://srren.ipcc-wg3.de/report/
g38813,Hydrothermal,Geothermal,Flash,2011,,0.078,,,,3600,3600,0.07,27.5,30,0.080586404,0.392,0.83155,0.75,,0.75,0.048952638,,190,,,,,0.02891933,Geothermal,0,,0,,IPCC 2011,2011,IPCC,IPCC Annex 3,http://srren.ipcc-wg3.de/report/
g38815,Hydrothermal,Geothermal,Binary,2011,,0.076,,,,3650,3650,0.07,27.5,30,0.080586404,0.392,0.83155,0.75,,0.75,0.049632536,,170,,,,,0.02587519,Geothermal,0,,0,,IPCC 2011,2011,IPCC,IPCC Annex 3,http://srren.ipcc-wg3.de/report/
g38816,Hydrothermal,Geothermal,Binary,2011,,0.1,,,,5200,5200,0.07,27.5,30,0.080586404,0.392,0.83155,0.75,,0.75,0.070709366,,190,,,,,0.02891933,Geothermal,0,,0,,IPCC 2011,2011,IPCC,IPCC Annex 3,http://srren.ipcc-wg3.de/report/
g38751,Hydrothermal,Geothermal,Flash,2010,,0.067,,,,2980,2980,0.07,,30,0.080586404,0.392,0.83155,0.85,0.85,0.85,0.035754623,,229,0,,,,0.030754768,Geothermal,0,,0,,"Mai et al., 2012",2012,Mai et al,Renewable Electricity Futures,http://www.nrel.gov/docs/fy12osti/52409-1.pdf
g38595,Hydrothermal,Geothermal,Flash,2010,,0.102,,,,5940,5940,0.07,,30,0.080586404,0.392,0.83155,0.85,0.85,0.85,0.071269282,,229,0,,,,0.030754768,Geothermal,0,,0,,Black and Veatch 2012,2012,Black and Veatch,COST AND PERFORMANCE DATA FOR POWER GENERATION TECHNOLOGIES,http://bv.com/docs/reports-studies/nrel-cost-report.pdf
g42513,Hydrothermal,Geothermal,Flash,2013,,0.051,,,,3778,3778,0.07,,30,0.080586404,0.392,0.83155,0.95,,0.95,0.04055769,,86.15,0,,,,0.010352079,Geothermal,0,34120,0,,McCann RE 2013,2013,McCann 2013,Cost of Generation Workshop: Non-solar Renewables,http://www.energy.ca.gov/2013_energypolicy/documents/2013-03-07_workshop/presentations/Renewables_Costs_Section_for_CEC_Workshop_2013-03-05.pdf
g42512,Hydrothermal,Geothermal,Binary,2013,,0.058,,,,4368,4368,0.07,,30,0.080586404,0.392,0.83155,0.95,,0.95,0.046891474,,89.79,0,,,,0.010789474,Geothermal,0,34120,0,,McCann RE 2013,2013,McCann 2013,Cost of Generation Workshop: Non-solar Renewables,http://www.energy.ca.gov/2013_energypolicy/documents/2013-03-07_workshop/presentations/Renewables_Costs_Section_for_CEC_Workshop_2013-03-05.pdf
g42502,Hydrothermal,Geothermal,Binary,2013,,0.075,,,,5227,5227,0.07,,30,0.080586404,0.392,0.83155,0.85,,0.85,0.062714568,,89.79,0,,,,0.012058824,Geothermal,0,34377,0,,McCann RE 2013,2013,McCann 2013,Cost of Generation Workshop: Non-solar Renewables,http://www.energy.ca.gov/2013_energypolicy/documents/2013-03-07_workshop/presentations/Renewables_Costs_Section_for_CEC_Workshop_2013-03-05.pdf
g42503,Hydrothermal,Geothermal,Flash,2013,,0.083,,,,5933,5933,0.07,,30,0.080586404,0.392,0.83155,0.85,,0.85,0.071185294,,89.79,0,,,,0.012058824,Geothermal,0,34377,0,,McCann RE 2013,2013,McCann 2013,Cost of Generation Workshop: Non-solar Renewables,http://www.energy.ca.gov/2013_energypolicy/documents/2013-03-07_workshop/presentations/Renewables_Costs_Section_for_CEC_Workshop_2013-03-05.pdf
g42507,Hydrothermal,Geothermal,Binary,2013,,0.11,,,,6557,6557,0.07,,30,0.080586404,0.392,0.83155,0.7709,,0.7709,0.08674451,,154.78,0,,,,0.022919899,Geothermal,0,34633,0,,McCann RE 2013,2013,McCann 2013,Cost of Generation Workshop: Non-solar Renewables,http://www.energy.ca.gov/2013_energypolicy/documents/2013-03-07_workshop/presentations/Renewables_Costs_Section_for_CEC_Workshop_2013-03-05.pdf
g42508,Hydrothermal,Geothermal,Flash,2013,,0.141,,,,7888,7888,0.07,,30,0.080586404,0.392,0.83155,0.7181,,0.7181,0.112025486,,182.58,0,,,,0.029024461,Geothermal,0,34633,0,,McCann RE 2013,2013,McCann 2013,Cost of Generation Workshop: Non-solar Renewables,http://www.energy.ca.gov/2013_energypolicy/documents/2013-03-07_workshop/presentations/Renewables_Costs_Section_for_CEC_Workshop_2013-03-05.pdf
g39608,Blind Geothermal,Geothermal,Blind,2010,DOE,0.078,,,,5627.8477,5627.8477,0.07,30,30,0.080586404,0.392,0.83155,0.95,,0.95,0.060416226,,0,17.099,,0,17.099,0.017099,Geothermal,0,3412,0,,DOE 2013,2013,DOE,DOE Program Estimate,
g38438,Blind Geothermal,Geothermal,Blind,2011,,0.1,,,,6846.011937,6846.011937,0.07,30,30,0.080586404,0.392,0.83155,0.95,,0.95,0.073493496,,222.9761259,0,,0,17.099,0.026793574,Geothermal,0,0,0,,DOE 2011,2011,DOE,DOE Program Estimate,
g39610,EGS,Geothermal,Enhanced Geothermal System,2010,DOE,0.092,,,,5579.057219,5579.057219,0.07,30,30,0.080586404,0.392,0.83155,0.95,,0.95,0.059892449,,0,32.3142,,0,32.3142,0.0323142,Geothermal,0,3412,0,,DOE 2013,2013,DOE,DOE Program Estimate,
g42970,EGS,Geothermal,Enhanced Geothermal System,2013,NREL,0.094,,,,6992,6992,0.07,20,30,0.080586404,0.392,0.83155,0.9,0.9,0.9,0.079230751,,115,0,,0,32.3142,0.014586504,Geothermal,0,,0,,NREL_ATB 2015,2015,NREL,NREL Annual Technology Baseline 2015,http://www.nrel.gov/analysis/data_tech_baseline.html
g42972,EGS,Geothermal,Enhanced Geothermal System,2013,NREL,0.094,,,,6992,6992,0.07,20,30,0.080586404,0.392,0.83155,0.9,0.9,0.9,0.079230751,,115,0,,0,32.3142,0.014586504,Geothermal,0,,0,,NREL_ATB 2015,2015,NREL,NREL Annual Technology Baseline 2015,http://www.nrel.gov/analysis/data_tech_baseline.html
g42971,EGS,Geothermal,Enhanced Geothermal System,2013,NREL,0.153,,,,10718,10718,0.07,20,30,0.080586404,0.392,0.83155,0.8,0.8,0.8,0.136633951,,115,0,,0,32.3142,0.016409817,Geothermal,0,,0,,NREL_ATB 2015,2015,NREL,NREL Annual Technology Baseline 2015,http://www.nrel.gov/analysis/data_tech_baseline.html
g42973,EGS,Geothermal,Enhanced Geothermal System,2013,NREL,0.153,,,,10718,10718,0.07,20,30,0.080586404,0.392,0.83155,0.8,0.8,0.8,0.136633951,,115,0,,0,32.3142,0.016409817,Geothermal,0,,0,,NREL_ATB 2015,2015,NREL,NREL Annual Technology Baseline 2015,http://www.nrel.gov/analysis/data_tech_baseline.html
g29286,EGS,Geothermal,Enhanced Geothermal System,2007,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29279,EGS,Geothermal,Enhanced Geothermal System,2000,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29287,EGS,Geothermal,Enhanced Geothermal System,2008,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29280,EGS,Geothermal,Enhanced Geothermal System,2001,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29281,EGS,Geothermal,Enhanced Geothermal System,2002,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29282,EGS,Geothermal,Enhanced Geothermal System,2003,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29283,EGS,Geothermal,Enhanced Geothermal System,2004,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29284,EGS,Geothermal,Enhanced Geothermal System,2005,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29285,EGS,Geothermal,Enhanced Geothermal System,2006,,0.111,,,1,6997.79,6997.79,0.07,20,30,0.080586404,0.392,0.83155,0.846,,0.846,0.084357831,,199.69,,,0,32.3142,0.026945227,Geothermal,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g25258,EGS,Geothermal,Enhanced Geothermal System,2009,,0.058,,3904.14,1,,3904.14,0.07,,30,0.080586404,0.392,0.83155,0.95,,0.95,0.041911831,,136.54,,,0,32.3142,0.016407114,Geothermal,0,,0,,GPRA 2009,2009,GPRA,"Government Performance and Results Act (2009). Data from Market Allocation (MARKAL) model, International Energy Agency and Brookhaven National Laboratory",
g25257,EGS,Geothermal,Enhanced Geothermal System,2008,,0.059,,3927.95,1,,3927.95,0.07,,30,0.080586404,0.392,0.83155,0.95,,0.95,0.042167437,,137.7,,,0,32.3142,0.016546503,Geothermal,0,,0,,GPRA 2009,2009,GPRA,"Government Performance and Results Act (2009). Data from Market Allocation (MARKAL) model, International Energy Agency and Brookhaven National Laboratory",
g25256,EGS,Geothermal,Enhanced Geothermal System,2007,,0.059,,3951.76,1,,3951.76,0.07,,30,0.080586404,0.392,0.83155,0.95,,0.95,0.042423043,,138.86,,,0,32.3142,0.016685893,Geothermal,0,,0,,GPRA 2009,2009,GPRA,"Government Performance and Results Act (2009). Data from Market Allocation (MARKAL) model, International Energy Agency and Brookhaven National Laboratory",
g37855,EGS,Geothermal,Enhanced Geothermal System,2009,,0.075,,,,4000,4000,0.07,,30,0.080586404,0.392,0.83155,,,0.95,0.04294091,,,,,0,32.3142,0.0323142,Geothermal,0,,0,,E3 2010,2010,E3,Capital Cost Recommendations for 2009 TEPPC Study.,http://www.wecc.biz/committees/BOD/TEPPC/Versions/100106_TEPPC_E3_CapitalCosts.ppt_2.0.ppt
g39630,EGS,Geothermal,Enhanced Geothermal System,2009,,0.082,,,,4600,4600,0.07,,30,0.080586404,0.392,0.83155,0.9,,0.9,0.052125494,,0,30,,0,32.3142,0.03,Geothermal,0,0,0,,Lazard 2010,2010,Lazard,"Lazard Levelized Cost of Energy Analysis, version 4.0",http://www.dpuc.state.ct.us/DEEPEnergy.nsf/c6c6d525f7cdd1168525797d0047c5bf/8525797c00471adb852579ea00731d74/$FILE/Ex%2013%20-%20Lazard%202010%20Levelized%20Cost%20of%20Energy%20-%20v%204.0.pdf
g37856,EGS,Geothermal,Enhanced Geothermal System,2009,,0.09,,,,5500,5500,0.07,,30,0.080586404,0.392,0.83155,0.9,,0.9,0.06232396,,180,5,,0,32.3142,0.02783105,Geothermal,0,,0,,E3 2010,2010,E3,Capital Cost Recommendations for 2009 TEPPC Study.,http://www.wecc.biz/committees/BOD/TEPPC/Versions/100106_TEPPC_E3_CapitalCosts.ppt_2.0.ppt
g37858,EGS,Geothermal,Enhanced Geothermal System,2009,,0.105,,,,6750,6750,0.07,,30,0.080586404,0.392,0.83155,,,0.95,0.072462786,,,,,0,32.3142,0.0323142,Geothermal,0,,0,,E3 2010,2010,E3,Capital Cost Recommendations for 2009 TEPPC Study.,http://www.wecc.biz/committees/BOD/TEPPC/Versions/100106_TEPPC_E3_CapitalCosts.ppt_2.0.ppt
g39631,EGS,Geothermal,Enhanced Geothermal System,2009,,0.132,,,,7250,7250,0.07,,30,0.080586404,0.392,0.83155,0.8,,0.8,0.0924236,,0,40,,0,32.3142,0.04,Geothermal,0,0,0,,Lazard 2010,2010,Lazard,"Lazard Levelized Cost of Energy Analysis, version 4.0",http://www.dpuc.state.ct.us/DEEPEnergy.nsf/c6c6d525f7cdd1168525797d0047c5bf/8525797c00471adb852579ea00731d74/$FILE/Ex%2013%20-%20Lazard%202010%20Levelized%20Cost%20of%20Energy%20-%20v%204.0.pdf
g37862,EGS,Geothermal,Enhanced Geothermal System,2011,,0.051,,,,1781.85,1781.85,0.07,,30,0.080586404,0.392,0.83155,,,0.95,0.019128565,,,,,0,32.3142,0.0323142,Geothermal,0,,0,,"McCalley et al., 2011",2011,McCalley et al.,A Wider Horizon. IEEE Power & Energy Magazine. May/June 2011,http://www.ieee.org/organizations/pes/public/2011/may/index.html
g38488,EGS,Geothermal,Enhanced Geothermal System,2010,,0.15,,,,11522,11522,0.07,30,30,0.080586404,0.392,0.83155,0.95,,0.95,0.123691292,,223,0,,0,32.3142,0.026796443,Geothermal,0,0,0,,DOE 2011,2011,DOE,DOE Program Estimate,
g39684,EGS,Geothermal,Enhanced Geothermal System,2014,,0.082,,,,4600,4600,0.07,,30,0.080586404,0.392,0.83155,0.9,,0.9,0.052125494,,,30,,0,32.3142,0.03,Geothermal,0,,0,,Lazard 2014,2014,Lazard,"Lazard Levelized Cost of Energy Analysis, version 8.0",http://www.lazard.com/PDF/Levelized%20Cost%20of%20Energy%20-%20Version%208.0.pdf
g39672,EGS,Geothermal,Enhanced Geothermal System,2014,,0.132,,,,7250,7250,0.07,,30,0.080586404,0.392,0.83155,0.8,,0.8,0.0924236,,,40,,0,32.3142,0.04,Geothermal,0,,0,,Lazard 2014,2014,Lazard,"Lazard Levelized Cost of Energy Analysis, version 8.0",http://www.lazard.com/PDF/Levelized%20Cost%20of%20Energy%20-%20Version%208.0.pdf
g42225,Small Hydropower,Small Hydro,,2009,,0.019,,,,945,945,0.07,30,30,0.080586404,0.392,0.83155,0.615,,0.615,0.015670814,,9.88,1.9,,,,0.003733909,Water,0,,0,,Klein et al. 2010,2010,Klein et al.,Comparate Costs of California Central Station Electricity Generation. Final Staff Report,http://www.energy.ca.gov/2009publications/CEC-200-2009-017/CEC-200-2009-017-SF.PDF
g42224,Small Hydropower,Small Hydro,,2009,,0.068,,,,1730,1730,0.07,30,30,0.080586404,0.392,0.83155,0.304,,0.304,0.058037324,,17.57,3.48,,,,0.010077723,Water,0,,0,,Klein et al. 2010,2010,Klein et al.,Comparate Costs of California Central Station Electricity Generation. Final Staff Report,http://www.energy.ca.gov/2009publications/CEC-200-2009-017/CEC-200-2009-017-SF.PDF
g42226,Small Hydropower,Small Hydro,,2009,,0.258,,,,2770,2770,0.07,30,30,0.080586404,0.392,0.83155,0.125,,0.125,0.225998011,,28.83,5.54,,,,0.031868767,Water,0,,0,,Klein et al. 2010,2010,Klein et al.,Comparate Costs of California Central Station Electricity Generation. Final Staff Report,http://www.energy.ca.gov/2009publications/CEC-200-2009-017/CEC-200-2009-017-SF.PDF
g38453,Small Hydropower,Small Hydro,,2011,,0.14,,,1.2,4500,5400,0.07,30,30,0.080586404,0.392,0.83155,0.5,,0.5,0.110143435,,130,0,,,,0.029680365,Water,0,0,0,,DOE 2011,2011,DOE,DOE Program Estimate,
g39614,Hydroelectric,Hydroelectric,Conventional,2010,DOE,0.091,,,,2971,2971,0.07,30,30,0.080586404,0.392,0.54407,0.5,,0.5,0.070730942,,90,0,,90,0,0.020547945,Water,0,3412,0,,DOE 2013,2013,DOE,DOE Program Estimate,
g29025,Hydroelectric,Hydroelectric,Conventional,2001,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29026,Hydroelectric,Hydroelectric,Conventional,2002,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29027,Hydroelectric,Hydroelectric,Conventional,2003,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29028,Hydroelectric,Hydroelectric,Conventional,2004,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29029,Hydroelectric,Hydroelectric,Conventional,2005,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29030,Hydroelectric,Hydroelectric,Conventional,2006,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29031,Hydroelectric,Hydroelectric,Conventional,2007,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29032,Hydroelectric,Hydroelectric,Conventional,2008,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g29024,Hydroelectric,Hydroelectric,Conventional,2000,,0.022,,,1,1320,1320,0.07,100,30,0.080586404,0.392,0.54407,0.93195,,0.93195,0.016860021,,12.72,3.2,,90,0,0.004758082,Water,0,,0,,"Logan et al., 2008",2008,Logan et al,"National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.",http://www.nrel.gov/docs/fy09osti/45161.pdf 
g21994,Hydroelectric,Hydroelectric,Conventional,2009,,0.035,,2241.84,1.100000024,2038,2241.84,0.07,,30,0.080586404,0.392,0.54407,,0.87,0.87,0.030673417,,13.63,2.43,,90,0,0.004218432,Water,0,,0,,AEO 2009,2009,AEO,Annual Energy Outlook 2009,http://www.eia.gov/oiaf/archive/aeo09/pdf/0383(2009).pdf
g38074,Hydroelectric,Hydroelectric,,2010,,0.075,,2290.5,,,2290.5,0.07,,30,0.080586404,0.392,0.54407,,,0.5,0.0545302,,,,,90,0,0.020547945,Water,0,,0,,AEO 2010,2010,AEO,Annual Energy Outlook 2010,http://www.eia.gov/oiaf/archive/aeo10/pdf/0383(2010).pdf
g38073,Hydroelectric,Hydroelectric,,2009,,0.06,,2291.48,,,2291.48,0.07,,30,0.080586404,0.392,0.54407,,,0.5,0.054553531,,13.93,2.49,,90,0,0.005670365,Water,0,,0,,AEO 2010,2010,AEO,Annual Energy Outlook 2010,http://www.eia.gov/oiaf/archive/aeo10/pdf/0383(2010).pdf
g38066,Hydroelectric,Hydroelectric,,2009,,0.032,,,,500,500,0.07,,30,0.080586404,0.392,0.54407,,,0.5,0.011903558,,,,,90,0,0.020547945,Water,0,,0,,E3 2010,2010,E3,Capital Cost Recommendations for 2009 TEPPC Study.,http://www.wecc.biz/committees/BOD/TEPPC/Versions/100106_TEPPC_E3_CapitalCosts.ppt_2.0.ppt
